"cell_id","admin_level","admin_id","admin_name","parent_id"
250139,"ADM0","Kazakhstan","KAZ",NA
250139,"ADM1","KAZ005","Almaty Region","Kazakhstan"
250139,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
250139,"ADM2","KAZ005001","Balkhash District","KAZ005"
250139,"ADM2","KAZ011002","Aktogay District","KAZ011"
250140,"ADM0","Kazakhstan","KAZ",NA
250140,"ADM1","KAZ005","Almaty Region","Kazakhstan"
250140,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
250140,"ADM2","KAZ005001","Balkhash District","KAZ005"
250140,"ADM2","KAZ011002","Aktogay District","KAZ011"
250141,"ADM0","Kazakhstan","KAZ",NA
250141,"ADM1","KAZ005","Almaty Region","Kazakhstan"
250141,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
250141,"ADM2","KAZ005001","Balkhash District","KAZ005"
250141,"ADM2","KAZ011002","Aktogay District","KAZ011"
250142,"ADM0","Kazakhstan","KAZ",NA
250142,"ADM1","KAZ005","Almaty Region","Kazakhstan"
250142,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
250142,"ADM2","KAZ005001","Balkhash District","KAZ005"
250142,"ADM2","KAZ011002","Aktogay District","KAZ011"
250143,"ADM0","Kazakhstan","KAZ",NA
250143,"ADM1","KAZ005","Almaty Region","Kazakhstan"
250143,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
250143,"ADM2","KAZ005001","Balkhash District","KAZ005"
250143,"ADM2","KAZ011002","Aktogay District","KAZ011"
250144,"ADM0","Kazakhstan","KAZ",NA
250144,"ADM1","KAZ005","Almaty Region","Kazakhstan"
250144,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
250144,"ADM2","KAZ005001","Balkhash District","KAZ005"
250144,"ADM2","KAZ011002","Aktogay District","KAZ011"
250145,"ADM0","Kazakhstan","KAZ",NA
250145,"ADM1","KAZ005","Almaty Region","Kazakhstan"
250145,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
250145,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
250145,"ADM2","KAZ005001","Balkhash District","KAZ005"
250145,"ADM2","KAZ010004","Karatal District","KAZ010"
250145,"ADM2","KAZ011002","Aktogay District","KAZ011"
251578,"ADM0","Kazakhstan","KAZ",NA
251578,"ADM1","KAZ005","Almaty Region","Kazakhstan"
251578,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
251578,"ADM2","KAZ005001","Balkhash District","KAZ005"
251578,"ADM2","KAZ011002","Aktogay District","KAZ011"
251579,"ADM0","Kazakhstan","KAZ",NA
251579,"ADM1","KAZ005","Almaty Region","Kazakhstan"
251579,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
251579,"ADM2","KAZ005001","Balkhash District","KAZ005"
251579,"ADM2","KAZ011002","Aktogay District","KAZ011"
251580,"ADM0","Kazakhstan","KAZ",NA
251580,"ADM1","KAZ005","Almaty Region","Kazakhstan"
251580,"ADM2","KAZ005001","Balkhash District","KAZ005"
251581,"ADM0","Kazakhstan","KAZ",NA
251581,"ADM1","KAZ005","Almaty Region","Kazakhstan"
251581,"ADM2","KAZ005001","Balkhash District","KAZ005"
251582,"ADM0","Kazakhstan","KAZ",NA
251582,"ADM1","KAZ005","Almaty Region","Kazakhstan"
251582,"ADM2","KAZ005001","Balkhash District","KAZ005"
251583,"ADM0","Kazakhstan","KAZ",NA
251583,"ADM1","KAZ005","Almaty Region","Kazakhstan"
251583,"ADM2","KAZ005001","Balkhash District","KAZ005"
251584,"ADM0","Kazakhstan","KAZ",NA
251584,"ADM1","KAZ005","Almaty Region","Kazakhstan"
251584,"ADM2","KAZ005001","Balkhash District","KAZ005"
251585,"ADM0","Kazakhstan","KAZ",NA
251585,"ADM1","KAZ005","Almaty Region","Kazakhstan"
251585,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
251585,"ADM2","KAZ005001","Balkhash District","KAZ005"
251585,"ADM2","KAZ010004","Karatal District","KAZ010"
253017,"ADM0","Kazakhstan","KAZ",NA
253017,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253017,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
253017,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
253017,"ADM2","KAZ005001","Balkhash District","KAZ005"
253017,"ADM2","KAZ009004","Moiynkum District","KAZ009"
253017,"ADM2","KAZ011002","Aktogay District","KAZ011"
253018,"ADM0","Kazakhstan","KAZ",NA
253018,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253018,"ADM1","KAZ011","Karaganda Region","Kazakhstan"
253018,"ADM2","KAZ005001","Balkhash District","KAZ005"
253018,"ADM2","KAZ011002","Aktogay District","KAZ011"
253019,"ADM0","Kazakhstan","KAZ",NA
253019,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253019,"ADM2","KAZ005001","Balkhash District","KAZ005"
253020,"ADM0","Kazakhstan","KAZ",NA
253020,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253020,"ADM2","KAZ005001","Balkhash District","KAZ005"
253021,"ADM0","Kazakhstan","KAZ",NA
253021,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253021,"ADM2","KAZ005001","Balkhash District","KAZ005"
253022,"ADM0","Kazakhstan","KAZ",NA
253022,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253022,"ADM2","KAZ005001","Balkhash District","KAZ005"
253023,"ADM0","Kazakhstan","KAZ",NA
253023,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253023,"ADM2","KAZ005001","Balkhash District","KAZ005"
253024,"ADM0","Kazakhstan","KAZ",NA
253024,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253024,"ADM2","KAZ005001","Balkhash District","KAZ005"
253025,"ADM0","Kazakhstan","KAZ",NA
253025,"ADM1","KAZ005","Almaty Region","Kazakhstan"
253025,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
253025,"ADM2","KAZ005001","Balkhash District","KAZ005"
253025,"ADM2","KAZ010004","Karatal District","KAZ010"
254456,"ADM0","Kazakhstan","KAZ",NA
254456,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254456,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
254456,"ADM2","KAZ005001","Balkhash District","KAZ005"
254456,"ADM2","KAZ009004","Moiynkum District","KAZ009"
254457,"ADM0","Kazakhstan","KAZ",NA
254457,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254457,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
254457,"ADM2","KAZ005001","Balkhash District","KAZ005"
254457,"ADM2","KAZ009004","Moiynkum District","KAZ009"
254458,"ADM0","Kazakhstan","KAZ",NA
254458,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254458,"ADM2","KAZ005001","Balkhash District","KAZ005"
254459,"ADM0","Kazakhstan","KAZ",NA
254459,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254459,"ADM2","KAZ005001","Balkhash District","KAZ005"
254460,"ADM0","Kazakhstan","KAZ",NA
254460,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254460,"ADM2","KAZ005001","Balkhash District","KAZ005"
254461,"ADM0","Kazakhstan","KAZ",NA
254461,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254461,"ADM2","KAZ005001","Balkhash District","KAZ005"
254462,"ADM0","Kazakhstan","KAZ",NA
254462,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254462,"ADM2","KAZ005001","Balkhash District","KAZ005"
254463,"ADM0","Kazakhstan","KAZ",NA
254463,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254463,"ADM2","KAZ005001","Balkhash District","KAZ005"
254464,"ADM0","Kazakhstan","KAZ",NA
254464,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254464,"ADM2","KAZ005001","Balkhash District","KAZ005"
254465,"ADM0","Kazakhstan","KAZ",NA
254465,"ADM1","KAZ005","Almaty Region","Kazakhstan"
254465,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
254465,"ADM2","KAZ005001","Balkhash District","KAZ005"
254465,"ADM2","KAZ010004","Karatal District","KAZ010"
255896,"ADM0","Kazakhstan","KAZ",NA
255896,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255896,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
255896,"ADM2","KAZ005001","Balkhash District","KAZ005"
255896,"ADM2","KAZ009004","Moiynkum District","KAZ009"
255897,"ADM0","Kazakhstan","KAZ",NA
255897,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255897,"ADM2","KAZ005001","Balkhash District","KAZ005"
255898,"ADM0","Kazakhstan","KAZ",NA
255898,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255898,"ADM2","KAZ005001","Balkhash District","KAZ005"
255899,"ADM0","Kazakhstan","KAZ",NA
255899,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255899,"ADM2","KAZ005001","Balkhash District","KAZ005"
255900,"ADM0","Kazakhstan","KAZ",NA
255900,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255900,"ADM2","KAZ005001","Balkhash District","KAZ005"
255901,"ADM0","Kazakhstan","KAZ",NA
255901,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255901,"ADM2","KAZ005001","Balkhash District","KAZ005"
255902,"ADM0","Kazakhstan","KAZ",NA
255902,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255902,"ADM2","KAZ005001","Balkhash District","KAZ005"
255903,"ADM0","Kazakhstan","KAZ",NA
255903,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255903,"ADM2","KAZ005001","Balkhash District","KAZ005"
255904,"ADM0","Kazakhstan","KAZ",NA
255904,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255904,"ADM2","KAZ005001","Balkhash District","KAZ005"
255905,"ADM0","Kazakhstan","KAZ",NA
255905,"ADM1","KAZ005","Almaty Region","Kazakhstan"
255905,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
255905,"ADM2","KAZ005001","Balkhash District","KAZ005"
255905,"ADM2","KAZ010004","Karatal District","KAZ010"
257335,"ADM0","Kazakhstan","KAZ",NA
257335,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257335,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
257335,"ADM2","KAZ005001","Balkhash District","KAZ005"
257335,"ADM2","KAZ009004","Moiynkum District","KAZ009"
257336,"ADM0","Kazakhstan","KAZ",NA
257336,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257336,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
257336,"ADM2","KAZ005001","Balkhash District","KAZ005"
257336,"ADM2","KAZ009004","Moiynkum District","KAZ009"
257337,"ADM0","Kazakhstan","KAZ",NA
257337,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257337,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
257337,"ADM2","KAZ005001","Balkhash District","KAZ005"
257337,"ADM2","KAZ009004","Moiynkum District","KAZ009"
257338,"ADM0","Kazakhstan","KAZ",NA
257338,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257338,"ADM2","KAZ005001","Balkhash District","KAZ005"
257339,"ADM0","Kazakhstan","KAZ",NA
257339,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257339,"ADM2","KAZ005001","Balkhash District","KAZ005"
257340,"ADM0","Kazakhstan","KAZ",NA
257340,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257340,"ADM2","KAZ005001","Balkhash District","KAZ005"
257341,"ADM0","Kazakhstan","KAZ",NA
257341,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257341,"ADM2","KAZ005001","Balkhash District","KAZ005"
257342,"ADM0","Kazakhstan","KAZ",NA
257342,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257342,"ADM2","KAZ005001","Balkhash District","KAZ005"
257343,"ADM0","Kazakhstan","KAZ",NA
257343,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257343,"ADM2","KAZ005001","Balkhash District","KAZ005"
257344,"ADM0","Kazakhstan","KAZ",NA
257344,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257344,"ADM2","KAZ005001","Balkhash District","KAZ005"
257345,"ADM0","Kazakhstan","KAZ",NA
257345,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257345,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
257345,"ADM2","KAZ005001","Balkhash District","KAZ005"
257345,"ADM2","KAZ010004","Karatal District","KAZ010"
257346,"ADM0","Kazakhstan","KAZ",NA
257346,"ADM1","KAZ005","Almaty Region","Kazakhstan"
257346,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
257346,"ADM2","KAZ005001","Balkhash District","KAZ005"
257346,"ADM2","KAZ010004","Karatal District","KAZ010"
258775,"ADM0","Kazakhstan","KAZ",NA
258775,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258775,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
258775,"ADM2","KAZ005001","Balkhash District","KAZ005"
258775,"ADM2","KAZ009004","Moiynkum District","KAZ009"
258776,"ADM0","Kazakhstan","KAZ",NA
258776,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258776,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
258776,"ADM2","KAZ005001","Balkhash District","KAZ005"
258776,"ADM2","KAZ009004","Moiynkum District","KAZ009"
258777,"ADM0","Kazakhstan","KAZ",NA
258777,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258777,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
258777,"ADM2","KAZ005001","Balkhash District","KAZ005"
258777,"ADM2","KAZ009004","Moiynkum District","KAZ009"
258778,"ADM0","Kazakhstan","KAZ",NA
258778,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258778,"ADM2","KAZ005001","Balkhash District","KAZ005"
258779,"ADM0","Kazakhstan","KAZ",NA
258779,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258779,"ADM2","KAZ005001","Balkhash District","KAZ005"
258780,"ADM0","Kazakhstan","KAZ",NA
258780,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258780,"ADM2","KAZ005001","Balkhash District","KAZ005"
258781,"ADM0","Kazakhstan","KAZ",NA
258781,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258781,"ADM2","KAZ005001","Balkhash District","KAZ005"
258782,"ADM0","Kazakhstan","KAZ",NA
258782,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258782,"ADM2","KAZ005001","Balkhash District","KAZ005"
258783,"ADM0","Kazakhstan","KAZ",NA
258783,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258783,"ADM2","KAZ005001","Balkhash District","KAZ005"
258784,"ADM0","Kazakhstan","KAZ",NA
258784,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258784,"ADM2","KAZ005001","Balkhash District","KAZ005"
258785,"ADM0","Kazakhstan","KAZ",NA
258785,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258785,"ADM2","KAZ005001","Balkhash District","KAZ005"
258786,"ADM0","Kazakhstan","KAZ",NA
258786,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258786,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
258786,"ADM2","KAZ005001","Balkhash District","KAZ005"
258786,"ADM2","KAZ010004","Karatal District","KAZ010"
258787,"ADM0","Kazakhstan","KAZ",NA
258787,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258787,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
258787,"ADM2","KAZ005001","Balkhash District","KAZ005"
258787,"ADM2","KAZ010004","Karatal District","KAZ010"
258787,"ADM2","KAZ010006","Koksu District","KAZ010"
258788,"ADM0","Kazakhstan","KAZ",NA
258788,"ADM1","KAZ005","Almaty Region","Kazakhstan"
258788,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
258788,"ADM2","KAZ005001","Balkhash District","KAZ005"
258788,"ADM2","KAZ010004","Karatal District","KAZ010"
258788,"ADM2","KAZ010006","Koksu District","KAZ010"
260217,"ADM0","Kazakhstan","KAZ",NA
260217,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260217,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
260217,"ADM2","KAZ005001","Balkhash District","KAZ005"
260217,"ADM2","KAZ009004","Moiynkum District","KAZ009"
260218,"ADM0","Kazakhstan","KAZ",NA
260218,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260218,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
260218,"ADM2","KAZ005001","Balkhash District","KAZ005"
260218,"ADM2","KAZ005010","Zhambyl District","KAZ005"
260218,"ADM2","KAZ009004","Moiynkum District","KAZ009"
260219,"ADM0","Kazakhstan","KAZ",NA
260219,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260219,"ADM2","KAZ005001","Balkhash District","KAZ005"
260219,"ADM2","KAZ005010","Zhambyl District","KAZ005"
260220,"ADM0","Kazakhstan","KAZ",NA
260220,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260220,"ADM2","KAZ005001","Balkhash District","KAZ005"
260220,"ADM2","KAZ005010","Zhambyl District","KAZ005"
260221,"ADM0","Kazakhstan","KAZ",NA
260221,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260221,"ADM2","KAZ005001","Balkhash District","KAZ005"
260221,"ADM2","KAZ005010","Zhambyl District","KAZ005"
260222,"ADM0","Kazakhstan","KAZ",NA
260222,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260222,"ADM2","KAZ005001","Balkhash District","KAZ005"
260222,"ADM2","KAZ005010","Zhambyl District","KAZ005"
260223,"ADM0","Kazakhstan","KAZ",NA
260223,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260223,"ADM2","KAZ005001","Balkhash District","KAZ005"
260224,"ADM0","Kazakhstan","KAZ",NA
260224,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260224,"ADM2","KAZ005001","Balkhash District","KAZ005"
260225,"ADM0","Kazakhstan","KAZ",NA
260225,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260225,"ADM2","KAZ005001","Balkhash District","KAZ005"
260226,"ADM0","Kazakhstan","KAZ",NA
260226,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260226,"ADM2","KAZ005001","Balkhash District","KAZ005"
260226,"ADM2","KAZ005003","Ile District","KAZ005"
260227,"ADM0","Kazakhstan","KAZ",NA
260227,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260227,"ADM2","KAZ005001","Balkhash District","KAZ005"
260228,"ADM0","Kazakhstan","KAZ",NA
260228,"ADM1","KAZ005","Almaty Region","Kazakhstan"
260228,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
260228,"ADM2","KAZ005001","Balkhash District","KAZ005"
260228,"ADM2","KAZ010006","Koksu District","KAZ010"
261658,"ADM0","Kazakhstan","KAZ",NA
261658,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261658,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
261658,"ADM2","KAZ005010","Zhambyl District","KAZ005"
261658,"ADM2","KAZ009004","Moiynkum District","KAZ009"
261658,"ADM2","KAZ009006","Shu District","KAZ009"
261659,"ADM0","Kazakhstan","KAZ",NA
261659,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261659,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
261659,"ADM2","KAZ005010","Zhambyl District","KAZ005"
261659,"ADM2","KAZ009004","Moiynkum District","KAZ009"
261660,"ADM0","Kazakhstan","KAZ",NA
261660,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261660,"ADM2","KAZ005010","Zhambyl District","KAZ005"
261661,"ADM0","Kazakhstan","KAZ",NA
261661,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261661,"ADM2","KAZ005010","Zhambyl District","KAZ005"
261662,"ADM0","Kazakhstan","KAZ",NA
261662,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261662,"ADM2","KAZ005001","Balkhash District","KAZ005"
261662,"ADM2","KAZ005010","Zhambyl District","KAZ005"
261663,"ADM0","Kazakhstan","KAZ",NA
261663,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261663,"ADM2","KAZ005001","Balkhash District","KAZ005"
261663,"ADM2","KAZ005010","Zhambyl District","KAZ005"
261664,"ADM0","Kazakhstan","KAZ",NA
261664,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261664,"ADM2","KAZ005001","Balkhash District","KAZ005"
261664,"ADM2","KAZ005003","Ile District","KAZ005"
261664,"ADM2","KAZ005010","Zhambyl District","KAZ005"
261665,"ADM0","Kazakhstan","KAZ",NA
261665,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261665,"ADM2","KAZ005001","Balkhash District","KAZ005"
261665,"ADM2","KAZ005003","Ile District","KAZ005"
261665,"ADM2","KAZ005010","Zhambyl District","KAZ005"
261666,"ADM0","Kazakhstan","KAZ",NA
261666,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261666,"ADM2","KAZ005001","Balkhash District","KAZ005"
261666,"ADM2","KAZ005003","Ile District","KAZ005"
261667,"ADM0","Kazakhstan","KAZ",NA
261667,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261667,"ADM2","KAZ005001","Balkhash District","KAZ005"
261667,"ADM2","KAZ005003","Ile District","KAZ005"
261668,"ADM0","Kazakhstan","KAZ",NA
261668,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261668,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
261668,"ADM2","KAZ005001","Balkhash District","KAZ005"
261668,"ADM2","KAZ010005","Kerbulak District","KAZ010"
261668,"ADM2","KAZ010006","Koksu District","KAZ010"
261669,"ADM0","Kazakhstan","KAZ",NA
261669,"ADM1","KAZ005","Almaty Region","Kazakhstan"
261669,"ADM1","KAZ010","Jetisu Region","Kazakhstan"
261669,"ADM2","KAZ005001","Balkhash District","KAZ005"
261669,"ADM2","KAZ010005","Kerbulak District","KAZ010"
